...Utils file loaded	
...running on GPU	
training model with learning rate = 0.050, K = 10, J = 20, threshold = 0.010, embedding size = 50, and batch size = 200...	
Running LSTM model	
Epoch 0, epsilon = 1.000, sum(y)/len(y) = 465/1000, {Recall = 0.611404, Precision = 0.335260, F1 = 0.433056}, query = aurora	
Epoch 28, epsilon = 0.440, sum(y)/len(y) = 97/1000, {Recall = 0.245807, Precision = 0.653503, F1 = 0.357242}, query = aurora	
Epoch 29, epsilon = 0.420, sum(y)/len(y) = 209/1000, {Recall = 0.406325, Precision = 0.500000, F1 = 0.448321}, query = aurora	
Epoch 30, epsilon = 0.400, sum(y)/len(y) = 197/1000, {Recall = 0.431241, Precision = 0.564263, F1 = 0.488865}, query = aurora	
Epoch 31, epsilon = 0.380, sum(y)/len(y) = 393/1000, {Recall = 0.572113, Precision = 0.375708, F1 = 0.453561}, query = aurora	
Epoch 32, epsilon = 0.360, sum(y)/len(y) = 92/1000, {Recall = 0.194058, Precision = 0.578571, F1 = 0.290635}, query = aurora	
Epoch 33, epsilon = 0.340, sum(y)/len(y) = 282/1000, {Recall = 0.528031, Precision = 0.474795, F1 = 0.500000}, query = aurora	
Epoch 34, epsilon = 0.320, sum(y)/len(y) = 199/1000, {Recall = 0.419262, Precision = 0.534841, F1 = 0.470051}, query = aurora	
Epoch 35, epsilon = 0.300, sum(y)/len(y) = 98/1000, {Recall = 0.248203, Precision = 0.664955, F1 = 0.361479}, query = aurora	
Epoch 36, epsilon = 0.280, sum(y)/len(y) = 102/1000, {Recall = 0.229037, Precision = 0.591584, F1 = 0.330225}, query = aurora	
Epoch 37, epsilon = 0.260, sum(y)/len(y) = 190/1000, {Recall = 0.429324, Precision = 0.572524, F1 = 0.490690}, query = aurora	
Epoch 38, epsilon = 0.240, sum(y)/len(y) = 106/1000, {Recall = 0.235266, Precision = 0.566321, F1 = 0.332431}, query = aurora	
Epoch 39, epsilon = 0.220, sum(y)/len(y) = 110/1000, {Recall = 0.288452, Precision = 0.669633, F1 = 0.403215}, query = aurora	
Epoch 40, epsilon = 0.200, sum(y)/len(y) = 199/1000, {Recall = 0.434595, Precision = 0.556101, F1 = 0.487897}, query = aurora	
Epoch 41, epsilon = 0.180, sum(y)/len(y) = 204/1000, {Recall = 0.440824, Precision = 0.544379, F1 = 0.487159}, query = aurora	
Epoch 42, epsilon = 0.160, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 43, epsilon = 0.140, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 44, epsilon = 0.120, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 45, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 46, epsilon = 0.100, sum(y)/len(y) = 204/1000, {Recall = 0.445616, Precision = 0.557554, F1 = 0.495340}, query = aurora	
Epoch 47, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 48, epsilon = 0.100, sum(y)/len(y) = 104/1000, {Recall = 0.267369, Precision = 0.671480, F1 = 0.382454}, query = aurora	
Epoch 49, epsilon = 0.100, sum(y)/len(y) = 83/1000, {Recall = 0.206996, Precision = 0.653555, F1 = 0.314410}, query = aurora	
Epoch 50, epsilon = 0.100, sum(y)/len(y) = 96/1000, {Recall = 0.246287, Precision = 0.660668, F1 = 0.358813}, query = aurora	
Epoch 51, epsilon = 0.100, sum(y)/len(y) = 104/1000, {Recall = 0.238620, Precision = 0.589349, F1 = 0.339700}, query = aurora	
Epoch 52, epsilon = 0.100, sum(y)/len(y) = 204/1000, {Recall = 0.435553, Precision = 0.542687, F1 = 0.483254}, query = aurora	
Epoch 53, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 54, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 55, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 56, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 57, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 58, epsilon = 0.100, sum(y)/len(y) = 296/1000, {Recall = 0.509823, Precision = 0.444630, F1 = 0.475000}, query = aurora	
Epoch 59, epsilon = 0.100, sum(y)/len(y) = 94/1000, {Recall = 0.209391, Precision = 0.587366, F1 = 0.308725}, query = aurora	
Epoch 60, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 61, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 62, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 63, epsilon = 0.100, sum(y)/len(y) = 199/1000, {Recall = 0.402492, Precision = 0.509709, F1 = 0.449799}, query = aurora	
Epoch 64, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 65, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 66, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 67, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 68, epsilon = 0.100, sum(y)/len(y) = 105/1000, {Recall = 0.272640, Precision = 0.677381, F1 = 0.388794}, query = aurora	
Epoch 69, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 70, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 71, epsilon = 0.100, sum(y)/len(y) = 192/1000, {Recall = 0.388117, Precision = 0.515595, F1 = 0.442865}, query = aurora	
Epoch 72, epsilon = 0.100, sum(y)/len(y) = 93/1000, {Recall = 0.248203, Precision = 0.670116, F1 = 0.362238}, query = aurora	
Epoch 73, epsilon = 0.100, sum(y)/len(y) = 105/1000, {Recall = 0.229995, Precision = 0.552359, F1 = 0.324763}, query = aurora	
Epoch 74, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 75, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 76, epsilon = 0.100, sum(y)/len(y) = 88/1000, {Recall = 0.243412, Precision = 0.692098, F1 = 0.360156}, query = aurora	
Epoch 77, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 78, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 79, epsilon = 0.100, sum(y)/len(y) = 94/1000, {Recall = 0.248682, Precision = 0.677546, F1 = 0.363828}, query = aurora	
Epoch 80, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 81, epsilon = 0.100, sum(y)/len(y) = 106/1000, {Recall = 0.269765, Precision = 0.665485, F1 = 0.383907}, query = aurora	
Epoch 82, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 83, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 84, epsilon = 0.100, sum(y)/len(y) = 194/1000, {Recall = 0.432199, Precision = 0.572698, F1 = 0.492627}, query = aurora	
Epoch 85, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 86, epsilon = 0.100, sum(y)/len(y) = 97/1000, {Recall = 0.229516, Precision = 0.618065, F1 = 0.334731}, query = aurora	
Epoch 87, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 88, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 89, epsilon = 0.100, sum(y)/len(y) = 102/1000, {Recall = 0.276953, Precision = 0.682409, F1 = 0.394001}, query = aurora	
Epoch 90, epsilon = 0.100, sum(y)/len(y) = 92/1000, {Recall = 0.229516, Precision = 0.632761, F1 = 0.336850}, query = aurora	
Epoch 91, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 92, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 93, epsilon = 0.100, sum(y)/len(y) = 111/1000, {Recall = 0.298515, Precision = 0.656481, F1 = 0.410408}, query = aurora	
Epoch 94, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 95, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 96, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 97, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 98, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 99, epsilon = 0.100, sum(y)/len(y) = 98/1000, {Recall = 0.227599, Precision = 0.579976, F1 = 0.326910}, query = aurora	
Epoch 100, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 101, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 102, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 103, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 104, epsilon = 0.100, sum(y)/len(y) = 100/1000, {Recall = 0.266890, Precision = 0.667866, F1 = 0.381376}, query = aurora	
Epoch 105, epsilon = 0.100, sum(y)/len(y) = 106/1000, {Recall = 0.275994, Precision = 0.659039, F1 = 0.389058}, query = aurora	
Epoch 106, epsilon = 0.100, sum(y)/len(y) = 203/1000, {Recall = 0.405367, Precision = 0.525466, F1 = 0.457668}, query = aurora	
Epoch 107, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 108, epsilon = 0.100, sum(y)/len(y) = 90/1000, {Recall = 0.237183, Precision = 0.681818, F1 = 0.351937}, query = aurora	
Epoch 109, epsilon = 0.100, sum(y)/len(y) = 96/1000, {Recall = 0.218975, Precision = 0.580686, F1 = 0.318024}, query = aurora	
Epoch 110, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 111, epsilon = 0.100, sum(y)/len(y) = 102/1000, {Recall = 0.267849, Precision = 0.664685, F1 = 0.381831}, query = aurora	
Epoch 112, epsilon = 0.100, sum(y)/len(y) = 191/1000, {Recall = 0.412075, Precision = 0.545685, F1 = 0.469560}, query = aurora	
Epoch 113, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 114, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 115, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 116, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 117, epsilon = 0.100, sum(y)/len(y) = 104/1000, {Recall = 0.229995, Precision = 0.570749, F1 = 0.327869}, query = aurora	
Epoch 118, epsilon = 0.100, sum(y)/len(y) = 98/1000, {Recall = 0.244849, Precision = 0.669725, F1 = 0.358596}, query = aurora	
Epoch 119, epsilon = 0.100, sum(y)/len(y) = 111/1000, {Recall = 0.297556, Precision = 0.672806, F1 = 0.412625}, query = aurora	
Epoch 120, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 121, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 122, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 123, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 124, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 125, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 126, epsilon = 0.100, sum(y)/len(y) = 205/1000, {Recall = 0.413512, Precision = 0.510349, F1 = 0.456855}, query = aurora	
Epoch 127, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 128, epsilon = 0.100, sum(y)/len(y) = 95/1000, {Recall = 0.203162, Precision = 0.571429, F1 = 0.299753}, query = aurora	
Epoch 129, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 130, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 131, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 132, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 133, epsilon = 0.100, sum(y)/len(y) = 102/1000, {Recall = 0.270724, Precision = 0.673421, F1 = 0.386193}, query = aurora	
Epoch 134, epsilon = 0.100, sum(y)/len(y) = 110/1000, {Recall = 0.279348, Precision = 0.638554, F1 = 0.388667}, query = aurora	
Epoch 135, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 136, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 137, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 138, epsilon = 0.100, sum(y)/len(y) = 105/1000, {Recall = 0.228558, Precision = 0.569892, F1 = 0.326265}, query = aurora	
Epoch 139, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 140, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 141, epsilon = 0.100, sum(y)/len(y) = 91/1000, {Recall = 0.203642, Precision = 0.572776, F1 = 0.300460}, query = aurora	
Epoch 142, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 143, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 144, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 145, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 146, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 147, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 148, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 149, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 150, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 151, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 152, epsilon = 0.100, sum(y)/len(y) = 202/1000, {Recall = 0.446095, Precision = 0.555489, F1 = 0.494818}, query = aurora	
Epoch 153, epsilon = 0.100, sum(y)/len(y) = 98/1000, {Recall = 0.226162, Precision = 0.594458, F1 = 0.327664}, query = aurora	
Epoch 154, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 155, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 156, epsilon = 0.100, sum(y)/len(y) = 191/1000, {Recall = 0.434595, Precision = 0.560569, F1 = 0.489609}, query = aurora	
Epoch 157, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 158, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 159, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 160, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 161, epsilon = 0.100, sum(y)/len(y) = 98/1000, {Recall = 0.232870, Precision = 0.600742, F1 = 0.335635}, query = aurora	
Epoch 162, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 163, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 164, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 165, epsilon = 0.100, sum(y)/len(y) = 106/1000, {Recall = 0.288452, Precision = 0.676404, F1 = 0.404434}, query = aurora	
Epoch 166, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 167, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 168, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 169, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 170, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 171, epsilon = 0.100, sum(y)/len(y) = 99/1000, {Recall = 0.212266, Precision = 0.561470, F1 = 0.308067}, query = aurora	
Epoch 172, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 173, epsilon = 0.100, sum(y)/len(y) = 105/1000, {Recall = 0.264015, Precision = 0.655172, F1 = 0.376366}, query = aurora	
Epoch 174, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 175, epsilon = 0.100, sum(y)/len(y) = 111/1000, {Recall = 0.293244, Precision = 0.662338, F1 = 0.406509}, query = aurora	
Epoch 176, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 177, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 178, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 179, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 180, epsilon = 0.100, sum(y)/len(y) = 106/1000, {Recall = 0.262099, Precision = 0.653524, F1 = 0.374145}, query = aurora	
Epoch 181, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 182, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 183, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 184, epsilon = 0.100, sum(y)/len(y) = 113/1000, {Recall = 0.301390, Precision = 0.668438, F1 = 0.415456}, query = aurora	
Epoch 185, epsilon = 0.100, sum(y)/len(y) = 93/1000, {Recall = 0.225683, Precision = 0.611688, F1 = 0.329716}, query = aurora	
Epoch 186, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 187, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
